id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1502.6,129.0,0.0,1502.6,1373.6,0.0
1,0.0,0.0,0.0,55.2,21.0,26.6,55.2,34.2,0.0
2,0.0,17.0,20.4,264.6,56.0,31.4,244.2,191.6,3.4
3,0.0,45.0,47.8,292.2,46.0,40.0,244.4,201.2,2.8
4,0.0,70.6,79.6,341.2,54.8,42.4,261.6,215.8,9.0
5,0.0,91.2,104.8,475.0,56.0,19.2,370.2,327.8,13.6
6,0.0,110.8,130.8,436.2,38.6,15.6,305.4,286.8,20.0
7,0.0,127.8,151.6,749.6,72.6,51.0,598.0,549.2,23.8
8,0.0,146.2,179.2,782.8,84.6,101.4,603.6,552.0,33.0
9,0.0,167.0,202.2,654.2,59.6,20.6,452.0,427.6,35.2
10,0.0,176.8,221.0,802.6,70.6,42.4,581.6,555.2,44.2
11,0.0,188.6,233.6,1107.4,155.2,73.6,873.8,763.6,45.0
12,0.0,215.8,266.0,737.6,50.6,19.4,471.6,471.2,50.2
13,0.0,251.6,306.0,905.2,75.0,90.2,599.2,578.6,54.4
14,0.0,274.4,334.6,920.2,67.6,35.8,585.6,578.2,60.2
15,0.0,289.6,348.2,979.8,81.6,73.0,631.6,608.6,58.6
16,0.0,299.6,364.0,1064.6,94.8,74.2,700.6,670.2,64.4
17,0.0,334.8,412.0,1029.8,73.0,55.4,617.8,622.0,77.2
18,0.0,347.4,431.0,877.6,48.8,34.4,446.6,481.4,83.6
19,0.0,368.2,457.4,1085.6,112.8,84.8,628.2,604.6,89.2
20,0.0,393.4,486.0,934.2,54.4,61.8,448.2,486.4,92.6
