FCFS,FeedBackRRS,IdealSJF,RRS,SJF
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
9.0,0.0,9.0,3.4,9.0
19.8,0.0,47.8,2.8,68.2
21.2,6.8,15.4,9.0,12.6
24.6,3.4,22.8,13.6,16.6
58.2,0.0,140.2,20.0,36.0
72.4,5.0,37.6,23.8,374.2
76.2,2.6,174.4,33.0,57.2
103.4,0.0,235.0,35.2,72.0
118.0,2.2,338.2,44.2,204.6
140.2,14.4,133.8,45.0,291.0
166.4,7.2,92.8,50.2,41.0
154.4,2.6,109.0,54.4,122.2
151.2,7.0,186.2,60.2,14.4
164.0,22.2,152.6,58.6,43.2
182.8,5.2,224.4,64.4,140.6
214.8,14.4,118.6,77.2,188.0
242.2,24.2,22.2,83.6,42.0
243.8,12.4,108.6,89.2,135.8
276.8,7.2,44.2,92.6,37.8
